Time,SensorID,BoatID,Distance,Azimuth
2025-06-25 15:00:00,7,2579,97218.3396,-30.6276
2025-06-25 15:12:00,4,2579,147106.2041,-104.0459
2025-06-25 15:12:00,8,2579,108933.3821,-1.564
2025-06-25 15:30:00,6,2579,73615.3435,-67.0569
2025-06-25 15:40:00,10,2579,-100.0,26.1593
2025-06-25 15:40:00,5,2579,-100.0,-100.4384
2025-06-25 15:40:00,9,2579,102041.5585,23.5716
2025-06-25 15:48:00,8,2579,103072.4834,-0.68969
2025-06-25 15:50:00,5,2579,-100.0,-101.1188
2025-06-25 15:54:00,4,2579,147575.9337,-106.8241
2025-06-25 16:12:00,4,2579,147799.4202,-108.2009
2025-06-25 16:12:00,8,2579,98424.9993,-0.39148
2025-06-25 16:24:00,4,2579,146322.8576,-109.0068
2025-06-25 16:40:00,5,2579,-100.0,-105.5186
2025-06-25 16:48:00,4,2579,150887.1004,-110.2324
2025-06-25 16:50:00,5,2579,-100.0,-106.4745
2025-06-25 16:52:00,9,2579,89409.1721,26.0388
2025-06-25 16:54:00,6,2579,70600.2703,-79.2843
2025-06-25 17:00:00,8,2579,90381.3788,-2.2662
2025-06-25 17:00:00,7,2579,80289.721,-38.1707
2025-06-25 17:10:00,7,2579,79814.3859,-40.2606
2025-06-25 17:12:00,6,2579,73762.0885,-82.2061
2025-06-25 17:30:00,6,2579,79174.8111,-84.663
2025-06-25 17:36:00,6,2579,81153.2176,-85.2987
2025-06-25 18:00:00,8,2579,82407.8612,-15.081
2025-06-25 18:12:00,8,2579,81118.8385,-17.8836
2025-06-25 18:40:00,7,2579,92043.6856,-60.7088
2025-06-25 18:50:00,5,2579,-100.0,-110.1856
2025-06-25 19:00:00,10,2579,-100.0,4.9471
2025-06-25 19:00:00,5,2579,-100.0,-110.3067
2025-06-25 19:10:00,7,2579,98419.5088,-66.0264
2025-06-25 19:20:00,5,2579,-100.0,-110.7445
2025-06-25 19:24:00,8,2579,81165.4974,-35.3088
2025-06-25 19:32:00,9,2579,56936.8135,-7.2281
