Time,SensorID,BoatID,Distance,Azimuth
2025-06-25 17:00:00,6,616,146744.1774,-44.157
2025-06-25 17:54:00,4,616,150115.6387,-72.0909
2025-06-25 18:00:00,6,616,132175.2166,-30.4244
2025-06-25 18:00:00,5,616,-100.0,-58.1141
2025-06-25 18:24:00,6,616,128640.8448,-23.9508
2025-06-25 18:30:00,5,616,-100.0,-51.5198
2025-06-25 18:36:00,4,616,128664.8264,-66.0072
2025-06-25 18:54:00,6,616,126648.5015,-15.8619
2025-06-25 19:18:00,4,616,109559.5063,-57.8526
2025-06-25 19:20:00,5,616,-100.0,-37.2677
2025-06-25 19:32:00,2,616,144771.6742,-117.1746
2025-06-25 19:36:00,4,616,101872.0919,-53.2422
2025-06-25 19:50:00,3,616,108746.7502,-91.1238
2025-06-25 19:56:00,2,616,130443.4437,-118.7284
2025-06-25 20:04:00,2,616,125824.0992,-119.3112
2025-06-25 20:10:00,5,616,-100.0,-19.1734
2025-06-25 20:10:00,1,616,-100.0,-121.198
2025-06-25 20:12:00,2,616,121412.844,-119.9103
2025-06-25 20:40:00,5,616,-100.0,-7.5178
2025-06-25 20:50:00,1,616,-100.0,-125.2029
2025-06-25 20:50:00,5,616,-100.0,-3.8192
2025-06-25 20:54:00,4,616,80064.0807,-26.1053
2025-06-25 21:00:00,5,616,-100.0,-0.1014
2025-06-25 21:10:00,5,616,-100.0,3.3723
2025-06-25 21:30:00,1,616,-100.0,-131.3666
2025-06-25 21:50:00,5,616,-100.0,16.5206
2025-06-25 21:50:00,3,616,39604.5531,-68.2716
2025-06-25 22:00:00,1,616,-100.0,-138.6512
