Time,SensorID,BoatID,Distance,Azimuth
2025-06-25 10:20:00,1,9630,-100.0,-122.1677
2025-06-25 10:28:00,2,9630,44841.1932,-114.9639
2025-06-25 10:30:00,5,9630,-100.0,15.2487
2025-06-25 10:50:00,1,9630,-100.0,-112.9773
2025-06-25 11:00:00,5,9630,-100.0,9.3888
2025-06-25 11:00:00,4,9630,111185.3167,-5.0444
2025-06-25 11:08:00,2,9630,59747.5991,-104.5426
2025-06-25 11:10:00,1,9630,-100.0,-108.6997
2025-06-25 11:40:00,5,9630,-100.0,1.7982
2025-06-25 12:00:00,5,9630,-100.0,-1.7425
2025-06-25 12:10:00,1,9630,-100.0,-100.1396
2025-06-25 12:18:00,4,9630,125803.7295,-20.2153
2025-06-25 12:28:00,2,9630,92633.5923,-94.6379
2025-06-25 12:30:00,1,9630,-100.0,-98.2623
2025-06-25 12:30:00,5,9630,-100.0,-7.056
2025-06-25 12:40:00,1,9630,-100.0,-97.4404
2025-06-25 12:50:00,5,9630,-100.0,-10.4339
2025-06-25 13:06:00,4,9630,138479.4322,-27.7198
2025-06-25 13:08:00,2,9630,109740.6158,-91.9294
2025-06-25 13:10:00,1,9630,-100.0,-95.1809
2025-06-25 13:10:00,5,9630,-100.0,-13.5965
2025-06-25 13:30:00,4,9630,145766.4925,-30.9028
2025-06-25 13:36:00,4,9630,147667.6885,-31.6546
2025-06-25 13:50:00,3,9630,133849.2079,-62.3665
2025-06-25 13:56:00,2,9630,130809.8145,-89.5131
2025-06-25 14:00:00,1,9630,-100.0,-92.3399
2025-06-25 14:00:00,5,9630,-100.0,-20.9064
